timestep,reward
162947,2.2745
163300,1.9605
163696,2.0435
164039,2.1195
164507,1.977
164854,2.1315
165255,1.9145
165621,2.097
166076,2.107
166412,2.06
166771,2.129
167195,2.0885
167579,2.1345
167983,2.142
168340,2.072
168686,2.0845
169087,1.9095
169393,2.4205
169767,2.09
170141,2.077
170554,1.8185
170949,2.161
171304,2.0485
171621,2.212
172038,2.02
172433,2.04
172768,2.179
173200,1.9575
173570,2.205
173927,2.4185
174298,2.179
174684,2.1575
175038,2.0835
175422,2.223
175902,2.2295
176260,1.8885
176712,2.1625
177104,2.166
177476,2.056
177928,2.094
178323,2.0215
178712,2.024
179076,2.067
179464,2.021
179824,2.2045
180262,2.136
180695,2.091
181095,1.9875
181467,2.102
181804,2.1035
182220,2.0435
182567,1.927
182918,2.027
183313,1.8815
183705,2.067
184090,2.236
184507,2.051
184901,1.8405
185236,1.897
185604,2.122
185978,2.036
186359,2.176
186765,2.006
187129,2.249
187557,2.0585
187946,2.186
188365,2.0135
188725,2.001
189073,1.9735
189490,2.058
189855,2.1525
190225,2.0285
190655,1.9075
191047,2.031
191433,2.0895
191789,2.083
192146,2.0325
192524,2.019
192928,2.0595
193319,2.1905
193725,2.2895
194097,2.022
194478,2.121
194811,2.04
195201,2.272
195602,2.0685
196037,1.975
196417,2.2215
196856,2.126
197304,2.207
197666,2.091
198055,2.1075
198431,2.1595
198833,2.244
199214,1.9665
199563,2.0375
199923,2.083
200266,2.073
200678,2.201
201073,2.205
201474,1.868
201848,2.082
202257,1.8205
202662,2.061
203061,2.115
203407,2.1855
203792,1.9735
204178,2.149
204610,1.7735
205010,2.0715
205414,1.9425
205786,2.0685
206213,2.0435
206643,2.1595
207005,1.9145
207387,2.0585
207771,1.827
208104,2.0305
208488,1.9935
208874,2.058
209253,2.136
209657,2.3275
210017,2.131
210358,1.883
210768,2.24
211138,2.0325
211564,2.1895
211948,2.033
212338,2.0735
212725,2.006
213106,2.155
213500,2.2775
213897,1.9895
214281,2.141
214637,2.033
215005,2.0895
215390,2.1225
215819,2.049
216198,2.093
216621,1.9985
216971,2.1735
217355,2.1375
217728,2.0155
218140,2.039
218593,1.826
218953,1.8975
219351,2.164
219779,2.1235
220178,1.7825
220568,1.814
221039,1.7385
221451,2.14
221851,2.218
222205,1.966
222627,1.946
223021,1.943
223372,1.965
223792,2.131
224197,2.1475
224569,2.1015
224958,2.1915
225346,2.0105
225767,1.957
226158,2.05
226581,2.2785
226953,1.9395
227351,2.129
227752,2.0755
228197,2.258
228602,1.994
229039,2.155
229423,1.817
229763,2.275
230164,1.952
230583,2.358
230967,2.4225
231353,1.879
231719,2.284
232116,1.886
232531,2.0235
232916,2.058
233317,2.0405
233678,2.171
234019,2.101
234375,1.9545
234786,2.147
235177,2.1735
235562,2.1765
235953,2.204
236359,1.8435
236773,1.9675
237115,1.8775
237499,2.0115
237920,2.0645
238359,1.9975
238747,1.92
239179,1.9705
239612,2.0615
239995,2.0755
240394,1.8495
240823,1.772
241243,1.9795
241607,2.0235
242004,1.921
242430,1.8615
242834,1.791
243215,2.0805
243645,2.4205
244026,2.3505
244433,1.9695
244838,2.028
245272,2.0045
245685,1.866
246073,2.093
246458,2.0595
246868,1.9155
247294,2.057
247693,1.9385
248028,2.1985
248417,1.9835
248791,1.998
249161,2.0595
249581,1.9875
249964,2.1175
250376,2.0215
250795,2.1765
251248,2.0815
251611,1.933
252001,2.0205
252379,2.29
252768,2.068
253145,2.1065
253583,1.964
254054,2.1005
254446,2.0425
254788,1.9745
255212,2.0425
255638,2.1525
256001,2.1225
256405,2.091
256808,2.1345
257218,2.306
257618,2.302
257993,2.4825
258429,2.1805
258776,1.991
259212,2.282
259593,1.982
259995,2.245
260349,1.944
260794,1.9865
261130,2.1275
261522,2.1135
261890,2.0625
262250,2.0395
262650,2.1875
263028,1.9325
263378,1.8745
263739,2.0385
264156,2.0115
264555,2.281
264909,1.975
265295,2.0365
265661,2.071
266074,1.884
266403,1.9925
266793,2.0715
267208,1.949
267552,2.01
267909,2.0245
268284,2.128
268689,1.9955
269049,1.912
269410,2.1115
269786,1.779
270185,1.9775
270539,1.9675
270975,2.184
271333,1.9975
271721,1.939
272190,1.9765
272627,2.052
273051,1.976
273417,2.1225
273871,1.9065
274319,2.213
274660,2.0065
275037,2.031
275411,1.9565
275777,1.986
276142,2.007
276547,2.2515
276979,2.053
277418,2.2335
277871,2.015
278280,1.884
278635,2.05
278997,1.9315
279445,1.8375
279861,2.0125
280265,1.993
280676,1.894
281087,1.9745
281471,2.078
281877,2.2705
282256,2.054
282670,2.1725
283059,2.0345
283422,2.22
283884,2.0725
284291,2.1675
284719,1.999
285070,2.284
285476,2.1375
285937,1.9655
286336,2.1935
286702,1.958
287019,1.873
287466,2.0455
287883,2.1985
288235,1.9305
288620,2.051
288966,1.9475
289432,1.9415
289812,2.0175
290217,2.395
290638,2.041
291063,1.9895
291489,2.002
291880,2.254
292310,2.0205
292712,1.9515
293139,1.9805
293515,1.8695
293912,2.273
294305,2.077
294682,1.9635
295114,2.0175
295530,2.2765
295898,1.898
296250,1.8645
296594,2.213
296966,1.987
297336,1.801
297711,1.887
298154,1.8965
298512,2.0095
298929,1.959
299295,2.0475
299663,2.1255
300092,2.0515
300487,2.108
300873,2.0105
301277,2.0435
301750,2.1955
302117,2.1045
302496,2.0985
302854,2.0105
303260,2.0555
303617,1.9565
303989,2.064
304395,2.0535
304882,2.1175
305288,2.0655
305650,2.256
306067,2.283
306471,2.1005
306866,1.9555
307254,1.87
307635,2.0185
308055,2.17
308424,1.971
308835,1.962
309207,1.8315
309560,2.1795
309953,2.016
310352,1.9515
310703,1.931
311069,1.758
311424,2.2145
311778,2.0555
312197,2.105
312647,1.942
313068,2.0155
313460,2.102
313828,1.9665
314276,1.7805
314681,2.335
315136,2.0565
315546,2.1095
315962,2.026
316384,1.832
316779,1.7085
317200,2.0505
317628,2.061
318025,2.178
318401,2.0585
318749,1.993
319175,1.974
319580,1.967
319966,1.9085
320429,1.8765
320801,1.852
321178,2.1395
321565,1.924
321955,1.873
322391,2.0625
322790,2.299
323163,1.8705
323562,1.939
323928,2.0735
324299,1.9995
324705,1.7465
325098,1.91
325540,1.8705
325906,2.0495
326299,1.989
326646,2.128
326975,1.8365
327382,2.222
327823,2.044
328307,1.9305
328655,1.9875
329053,1.9085
329424,2.0015
329837,2.165
330221,1.8985
330605,2.043
331016,1.8325
331411,2.2635
331794,1.997
332154,1.825
332561,1.957
332976,2.0925
333375,2.032
333792,2.301
334248,2.2725
334617,1.95
334982,2.0695
335318,1.6835
335728,2.149
336105,2.1025
336476,1.7575
336830,2.1735
337241,1.791
337612,1.8125
337990,2.0435
338360,2.142
338784,2.0935
339144,2.0085
